SUBDIVISION,YEAR,ANNUAL PRECIPITATION,QUARTER,PRECIPITATION,SEVERITY,TERRAIN,CLIMATE
ANDAMAN & NICOBAR ISLANDS,1908,3576.4,Oct-Dec,575.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1910,2899.4,Jan-Feb,49.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1910,2899.4,Mar-May,520.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1910,2899.4,Jun-Sep,1701,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1910,2899.4,Oct-Dec,629,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1911,2687.2,Jan-Feb,8.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1911,2687.2,Mar-May,449.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1911,2687.2,Jun-Sep,1553.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1911,2687.2,Oct-Dec,675.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1912,2960.5,Jan-Feb,584.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1912,2960.5,Mar-May,162.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1912,2960.5,Jun-Sep,1775.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1912,2960.5,Oct-Dec,438.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1913,2365.8,Jan-Feb,85.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1913,2365.8,Mar-May,194.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1913,2365.8,Jun-Sep,1596.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1913,2365.8,Oct-Dec,489.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1914,2957.8,Jan-Feb,0,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1914,2957.8,Mar-May,336.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1914,2957.8,Jun-Sep,2007.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1914,2957.8,Oct-Dec,613.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1915,2741.3,Jan-Feb,101.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1915,2741.3,Mar-May,244.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1915,2741.3,Jun-Sep,1350.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1915,2741.3,Oct-Dec,1044.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1916,2937.5,Jan-Feb,0,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1916,2937.5,Mar-May,487.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1916,2937.5,Jun-Sep,1753.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1916,2937.5,Oct-Dec,696,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1917,2612.4,Jan-Feb,11.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1917,2612.4,Mar-May,412.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1917,2612.4,Jun-Sep,1605.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1917,2612.4,Oct-Dec,583.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1918,3275,Jan-Feb,84.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1918,3275,Mar-May,751.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1918,3275,Jun-Sep,1670.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1918,3275,Oct-Dec,768.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1919,2352.1,Jan-Feb,28.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1919,2352.1,Mar-May,319.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1919,2352.1,Jun-Sep,1219.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1919,2352.1,Oct-Dec,785,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1920,2943.2,Jan-Feb,129.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1920,2943.2,Mar-May,253.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1920,2943.2,Jun-Sep,1814.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1920,2943.2,Oct-Dec,745.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1921,2606.4,Jan-Feb,16.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1921,2606.4,Mar-May,388.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1921,2606.4,Jun-Sep,1681,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1921,2606.4,Oct-Dec,520.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1922,3554.2,Jan-Feb,279.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1922,3554.2,Mar-May,628.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1922,3554.2,Jun-Sep,1751,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1922,3554.2,Oct-Dec,895.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1923,NA,Jan-Feb,79.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1923,NA,Mar-May,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1923,NA,Jun-Sep,2188,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1923,NA,Oct-Dec,399.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1924,NA,Jan-Feb,28.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1924,NA,Mar-May,295.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1924,NA,Jun-Sep,1296.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1924,NA,Oct-Dec,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1925,2480.5,Jan-Feb,36.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1925,2480.5,Mar-May,341.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1925,2480.5,Jun-Sep,1385.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1925,2480.5,Oct-Dec,717,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1926,3282.2,Jan-Feb,122.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1926,3282.2,Mar-May,198.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1926,3282.2,Jun-Sep,1808.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1926,3282.2,Oct-Dec,1152.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1927,2442.9,Jan-Feb,20.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1927,2442.9,Mar-May,630.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1927,2442.9,Jun-Sep,1124.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1927,2442.9,Oct-Dec,667.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1928,2998.3,Jan-Feb,118.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1928,2998.3,Mar-May,709.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1928,2998.3,Jun-Sep,1612.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1928,2998.3,Oct-Dec,557.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1929,2926.6,Jan-Feb,192.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1929,2926.6,Mar-May,515.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1929,2926.6,Jun-Sep,1540.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1929,2926.6,Oct-Dec,678,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1930,3075.1,Jan-Feb,192.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1930,3075.1,Mar-May,373.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1930,3075.1,Jun-Sep,1975.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1930,3075.1,Oct-Dec,533.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1931,2357.7,Jan-Feb,25.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1931,2357.7,Mar-May,210.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1931,2357.7,Jun-Sep,1548.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1931,2357.7,Oct-Dec,573.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1932,NA,Jan-Feb,5.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1932,NA,Mar-May,548,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1932,NA,Jun-Sep,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1932,NA,Oct-Dec,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1933,2987.5,Jan-Feb,16.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1933,2987.5,Mar-May,431.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1933,2987.5,Jun-Sep,1973.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1933,2987.5,Oct-Dec,565.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1934,3722.8,Jan-Feb,180.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1934,3722.8,Mar-May,200.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1934,3722.8,Jun-Sep,2717.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1934,3722.8,Oct-Dec,624.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1935,3154,Jan-Feb,6.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1935,3154,Mar-May,860.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1935,3154,Jun-Sep,1733.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1935,3154,Oct-Dec,553.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1936,NA,Jan-Feb,31.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1936,NA,Mar-May,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1936,NA,Jun-Sep,2109.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1936,NA,Oct-Dec,586.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1937,3591.1,Jan-Feb,32.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1937,3591.1,Mar-May,442.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1937,3591.1,Jun-Sep,1863.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1937,3591.1,Oct-Dec,1252.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1938,3264.4,Jan-Feb,70.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1938,3264.4,Mar-May,521,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1938,3264.4,Jun-Sep,1930.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1938,3264.4,Oct-Dec,742.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1939,2782.5,Jan-Feb,55.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1939,2782.5,Mar-May,573.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1939,2782.5,Jun-Sep,1591.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1939,2782.5,Oct-Dec,561.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1940,3007.5,Jan-Feb,3.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1940,3007.5,Mar-May,380.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1940,3007.5,Jun-Sep,1970.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1940,3007.5,Oct-Dec,653.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1941,2898.2,Jan-Feb,12.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1941,2898.2,Mar-May,329.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1941,2898.2,Jun-Sep,1627.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1941,2898.2,Oct-Dec,928.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1942,NA,Jan-Feb,46.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1942,NA,Mar-May,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1942,NA,Jun-Sep,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1942,NA,Oct-Dec,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1946,2791.6,Jan-Feb,88,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1946,2791.6,Mar-May,465.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1946,2791.6,Jun-Sep,1570.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1946,2791.6,Oct-Dec,667.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1947,NA,Jan-Feb,136.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1947,NA,Mar-May,397.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1947,NA,Jun-Sep,NA,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1947,NA,Oct-Dec,612.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1949,3489.6,Jan-Feb,56.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1949,3489.6,Mar-May,572.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1949,3489.6,Jun-Sep,2433.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1949,3489.6,Oct-Dec,427.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1950,2422.2,Jan-Feb,0.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1950,2422.2,Mar-May,359.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1950,2422.2,Jun-Sep,1578.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1950,2422.2,Oct-Dec,483.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1951,3275.1,Jan-Feb,89.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1951,3275.1,Mar-May,304.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1951,3275.1,Jun-Sep,1747.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1951,3275.1,Oct-Dec,1133.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1952,3079.9,Jan-Feb,0.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1952,3079.9,Mar-May,562,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1952,3079.9,Jun-Sep,1824.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1952,3079.9,Oct-Dec,692.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1953,2721.9,Jan-Feb,121.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1953,2721.9,Mar-May,420.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1953,2721.9,Jun-Sep,1627.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1953,2721.9,Oct-Dec,552.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1954,3449,Jan-Feb,85.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1954,3449,Mar-May,487,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1954,3449,Jun-Sep,2419.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1954,3449,Oct-Dec,456.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1955,3349.6,Jan-Feb,85.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1955,3349.6,Mar-May,742.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1955,3349.6,Jun-Sep,1648.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1955,3349.6,Oct-Dec,873.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1956,3080,Jan-Feb,126.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1956,3080,Mar-May,656,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1956,3080,Jun-Sep,1604.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1956,3080,Oct-Dec,693.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1957,2507.2,Jan-Feb,47.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1957,2507.2,Mar-May,166,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1957,2507.2,Jun-Sep,1833.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1957,2507.2,Oct-Dec,460.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1958,2807.4,Jan-Feb,37.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1958,2807.4,Mar-May,410.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1958,2807.4,Jun-Sep,1710.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1958,2807.4,Oct-Dec,649.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1959,3343.3,Jan-Feb,11.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1959,3343.3,Mar-May,356.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1959,3343.3,Jun-Sep,2271.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1959,3343.3,Oct-Dec,703.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1960,3025,Jan-Feb,176.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1960,3025,Mar-May,601,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1960,3025,Jun-Sep,1563,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1960,3025,Oct-Dec,684.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1961,3938.2,Jan-Feb,181.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1961,3938.2,Mar-May,1094.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1961,3938.2,Jun-Sep,1857.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1961,3938.2,Oct-Dec,805,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1962,2959.7,Jan-Feb,167.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1962,2959.7,Mar-May,374.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1962,2959.7,Jun-Sep,1671.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1962,2959.7,Oct-Dec,746.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1963,2981.7,Jan-Feb,106.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1963,2981.7,Mar-May,336.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1963,2981.7,Jun-Sep,1953.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1963,2981.7,Oct-Dec,584.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1964,3054.8,Jan-Feb,87.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1964,3054.8,Mar-May,551.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1964,3054.8,Jun-Sep,1745.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1964,3054.8,Oct-Dec,669.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1965,3163.8,Jan-Feb,42.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1965,3163.8,Mar-May,368.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1965,3163.8,Jun-Sep,1774.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1965,3163.8,Oct-Dec,978.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1966,2701.2,Jan-Feb,83.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1966,2701.2,Mar-May,427.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1966,2701.2,Jun-Sep,1372.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1966,2701.2,Oct-Dec,817.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1967,3216.4,Jan-Feb,186.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1967,3216.4,Mar-May,609.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1967,3216.4,Jun-Sep,1796.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1967,3216.4,Oct-Dec,624.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1968,2762.8,Jan-Feb,23.4,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1968,2762.8,Mar-May,383.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1968,2762.8,Jun-Sep,1803.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1968,2762.8,Oct-Dec,552.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1969,2619,Jan-Feb,171,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1969,2619,Mar-May,352.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1969,2619,Jun-Sep,1539.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1969,2619,Oct-Dec,556.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1970,3370.8,Jan-Feb,106.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1970,3370.8,Mar-May,488.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1970,3370.8,Jun-Sep,1738.2,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1970,3370.8,Oct-Dec,1037.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1971,2998.6,Jan-Feb,74.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1971,2998.6,Mar-May,471,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1971,2998.6,Jun-Sep,1613.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1971,2998.6,Oct-Dec,839.6,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1972,3323,Jan-Feb,15.3,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1972,3323,Mar-May,605.9,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1972,3323,Jun-Sep,1844,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1972,3323,Oct-Dec,857.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1973,2991.1,Jan-Feb,38.5,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1973,2991.1,Mar-May,478.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1973,2991.1,Jun-Sep,1587.8,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1973,2991.1,Oct-Dec,886.1,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1974,2962,Jan-Feb,66,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1974,2962,Mar-May,672,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1974,2962,Jun-Sep,1378.7,0,Island,Tropical
ANDAMAN & NICOBAR ISLANDS,1974,2962,Oct-Dec,845.3,0,Island,Tropical
